Event Start,Event Dur,maxScale,maxLocDur,maxIVT,maxIVTLat,maxScaletime,Type,start_date,end_date
2015-11-12 18:00:00,72.0,3.0,54.0,660.0,47.0,2015111218.0,Scyc,2015-11-12 18:00:00,2015-11-15 18:00:00
2015-11-16 18:00:00,30.0,3.0,24.0,830.0,46.0,2015111700.0,NDcyc,2015-11-16 18:00:00,2015-11-18 00:00:00
2015-11-19 00:00:00,12.0,1.0,12.0,709.0,45.0,2015111906.0,NDcyc,2015-11-19 00:00:00,2015-11-19 12:00:00
2015-12-02 00:00:00,66.0,3.0,42.0,919.0,43.0,2015120200.0,NDcyc,2015-12-02 00:00:00,2015-12-04 18:00:00
2015-12-05 12:00:00,150.0,5.0,96.0,1068.0,45.0,2015120512.0,Scyc,2015-12-05 12:00:00,2015-12-11 18:00:00
2015-12-12 18:00:00,24.0,1.0,18.0,693.0,43.0,2015121218.0,NDcyc,2015-12-12 18:00:00,2015-12-13 18:00:00
2015-12-17 06:00:00,36.0,3.0,24.0,781.0,43.0,2015121706.0,NDcyc,2015-12-17 06:00:00,2015-12-18 18:00:00
2016-01-12 12:00:00,24.0,3.0,24.0,908.0,43.0,2016011212.0,NDcyc,2016-01-12 12:00:00,2016-01-13 12:00:00
2016-01-21 00:00:00,54.0,3.0,30.0,813.0,43.0,2016012100.0,NDcyc,2016-01-21 00:00:00,2016-01-23 06:00:00
2016-01-27 06:00:00,60.0,4.0,30.0,1005.0,48.0,2016012706.0,NDcyc,2016-01-27 06:00:00,2016-01-29 18:00:00
2016-02-14 00:00:00,42.0,2.0,36.0,584.0,45.0,2016021400.0,NDcyc,2016-02-14 00:00:00,2016-02-15 18:00:00
2016-03-04 18:00:00,54.0,3.0,36.0,890.0,38.0,2016030500.0,NDcyc,2016-03-04 18:00:00,2016-03-07 00:00:00
2016-03-09 12:00:00,108.0,3.0,90.0,786.0,43.0,2016030912.0,Scyc,2016-03-09 12:00:00,2016-03-14 00:00:00
