,Event Start,  Event Dur,  maxScale,  maxLocDur,    maxIVT,maxIVTLat,maxScaletime,Type,Start_Date,End_Date
46,2014101300,72,2,42,737,46,2014101318,Scyc,2014-10-13 00:00:00,2014-10-16 00:00:00
47,2014102112,126,4,102,907,43,2014102200,Scyc,2014-10-21 12:00:00,2014-10-26 18:00:00
48,2014110512,30,2,30,726,43,2014110512,Scyc,2014-11-05 12:00:00,2014-11-06 18:00:00
49,2014112618,78,3,54,574,47,2014112700,Scyc,2014-11-26 18:00:00,2014-11-30 00:00:00
50,2014120718,144,4,96,1011,38,2014121018,Scyc,2014-12-07 18:00:00,2014-12-13 18:00:00
51,2014121906,48,2,42,831,44,2014122006,NDcyc,2014-12-19 06:00:00,2014-12-21 06:00:00
52,2015010418,36,3,36,890,47,2015010418,NDcyc,2015-01-04 18:00:00,2015-01-06 06:00:00
53,2015011518,18,1,18,667,42,2015011518,NDcyc,2015-01-15 18:00:00,2015-01-16 12:00:00
54,2015020418,138,5,114,1085,43,2015020418,Scyc,2015-02-04 18:00:00,2015-02-10 12:00:00
55,2015031400,54,3,42,884,43,2015031400,Scyc,2015-03-14 00:00:00,2015-03-16 06:00:00
56,2015031912,36,2,36,536,46,2015032006,Scyc,2015-03-19 12:00:00,2015-03-21 00:00:00
57,2015032506,24,1,24,415,48,2015032506,NDcyc,2015-03-25 06:00:00,2015-03-26 06:00:00
